ID,Description,Period Start,Period End,Timesheet Due,Pay Day
2025-15,Pay Period 15 - Aug 2-15 2025,2025-08-02,2025-08-15,2025-08-15,2025-08-22
2025-16,Pay Period 16 - Aug 16-29 2025,2025-08-16,2025-08-29,2025-08-29,2025-09-05
2025-17,Pay Period 17 - Aug 30 - Sep 15 2025,2025-08-30,2025-09-15,2025-09-15,2025-09-22
2025-18,Pay Period 18 - Sep 16-30 2025,2025-09-16,2025-09-30,2025-09-30,2025-10-07
2025-19,Pay Period 19 - Oct 1-15 2025,2025-10-01,2025-10-15,2025-10-15,2025-10-22
2025-20,Pay Period 20 - Oct 16-31 2025,2025-10-16,2025-10-31,2025-10-31,2025-11-07
2025-21,Pay Period 21 - Nov 1-14 2025,2025-11-01,2025-11-14,2025-11-14,2025-11-21
2025-22,Pay Period 22 - Nov 15-28 2025,2025-11-15,2025-11-28,2025-11-28,2025-12-05
2025-23,Pay Period 23 - Nov 29 - Dec 15 2025,2025-11-29,2025-12-15,2025-12-15,2025-12-22
2025-24,Pay Period 24 - Dec 16-31 2025,2025-12-16,2025-12-31,2025-12-31,2026-01-07
2026-01,Pay Period 1 - Jan 1-15 2026,2026-01-01,2026-01-15,2026-01-15,2026-01-22
2026-02,Pay Period 2 - Jan 16-31 2026,2026-01-16,2026-01-31,2026-01-31,2026-02-07
2026-03,Pay Period 3 - Feb 1-14 2026,2026-02-01,2026-02-14,2026-02-14,2026-02-21
2026-04,Pay Period 4 - Feb 15-28 2026,2026-02-15,2026-02-28,2026-02-28,2026-03-07